CCTV-1综合 cctv1
赤峰经济 chifengjj
赤峰影视 chifengys
环球购物 huanqiu-guangxi
广西新闻 guangxixinwen
广西交通 guangxijiaotong
广西都市 guangxidushi
广西综艺 guangxizongyi
广西国际 guangxiguoji
央广购物 yangguang-guangxi
广西公共 guangxigonggong
广西科教 guangxikejiao
广西影视 guangxiyingshi
南宁新闻综合 nanningxinwenzonghe
南宁影视娱乐 nanningyingshiyule
南宁都市生活 nanningdushishenghuo
南宁公共 nanninggonggong
玉林新闻综合 yulinxw
玉林公共 yulingg
玉林知识 yulinzs
宁夏经济 ningxiajingji
宁夏公共 ningxiagonggong
宁夏影视 ningxiayingshi
银川公共 yinchuangonggong
银川生活 yinchuanshenghuo
新疆-2 xjtv2
新疆-3 xjtv3
新疆-4 xjtv4
新疆-5 xjtv5
新疆-7 xjtv7
新疆-8 xjtv8
新疆-9 xjtv9
新疆-10 xjtv10
新疆-11 xjtv11
新疆-12 xjtv12
环球购物 huanqiugouwu999
